"Date","Site.Name","COUNTY","meanLat","meanLong","month","year","PM2.5","Ozone"
2020-01-23,"Linville Falls","Avery",35.972347,-81.933072,1,2020,10,NA
2020-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,19,NA
2020-01-23,"Millbrook School","Wake",35.856111,-78.574167,1,2020,20.5,36
2020-01-23,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,16,NA
2020-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,15,37
2020-01-24,"Bryson City","Swain",35.434767,-83.442133,1,2020,18,NA
2020-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,7,NA
2020-01-24,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,16,NA
2020-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,26,NA
2020-01-24,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,35
2020-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,22,28
2020-01-24,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,15,NA
2020-01-24,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,3,NA
2020-01-24,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,13,NA
2020-01-24,"Millbrook School","Wake",35.856111,-78.574167,1,2020,20,31
2020-01-24,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,9,NA
2020-01-24,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,15,32
2020-01-25,"Bryson City","Swain",35.434767,-83.442133,1,2020,26,NA
2020-01-25,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,13,NA
2020-01-25,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,34,NA
2020-01-25,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,43,NA
2020-01-25,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,44
2020-01-25,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,30,31.5
2020-01-25,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,34,NA
2020-01-25,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,8,NA
2020-01-25,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,27,NA
2020-01-25,"Millbrook School","Wake",35.856111,-78.574167,1,2020,35,32
2020-01-25,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,13,NA
2020-01-25,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,25,33
2020-01-26,"Bryson City","Swain",35.434767,-83.442133,1,2020,52,NA
2020-01-26,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,6,NA
2020-01-26,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,58,NA
2020-01-26,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,46,NA
2020-01-26,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,8,43
2020-01-26,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,46,33.5
2020-01-26,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,57.6666666666667,NA
2020-01-26,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,16,NA
2020-01-26,"Linville Falls","Avery",35.972347,-81.933072,1,2020,18,NA
2020-01-26,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,56,NA
2020-01-26,"Millbrook School","Wake",35.856111,-78.574167,1,2020,47.5,32
2020-01-26,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,21,NA
2020-01-26,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,35,36
2020-01-27,"Bryson City","Swain",35.434767,-83.442133,1,2020,58,NA
